ano,urbana,rural
1940,12880182,28356133
1941,13222769,28681511
1942,13615204,29051653
1943,14060002,29463251
1944,14558808,29912174
1945,15114867,30395655
1946,15726788,30906914
1947,16397662,31443096
1948,17129133,32000073
1949,17925109,32575303
1950,18782891,33161506
1951,19706270,33756062
1952,20697178,34354648
1953,21760605,34954536
1954,22892733,35548076
1955,24098358,36132546
1956,25379468,36703584
1957,26741883,37258316
1958,28180149,37789337
1959,29699870,38293826
1960,31303034,38767423
1961,32996087,39207107
1962,34770342,39607075
1963,36630587,39965375
1964,38577101,40278807
1965,40615854,40544828
1966,42735983,40758774
1967,44943220,40918240
1968,47237844,41020024
1969,49626782,41060950
1970,52097260,41037586
1971,55064526,40720016
1972,57994584,40423394
1973,60898046,40145068
1974,63761775,39884642
1975,66596474,39639414
1976,69404868,39407472
1977,72197280,39186309
1978,74961181,38975216
1979,77706956,38771659
1980,80437327,38573725
1981,83163005,38378680
1982,85874587,38184231
1983,88585562,37986203
1984,91301958,37780959
1985,94037296,37564248
1986,96782672,37333609
1987,99551568,37084828
1988,102350012,36814266
1989,105191851,36517436
1990,108067596,36192313
1991,110990990,35834485
1992,113964626,35442104
1993,116985669,35019296
1994,120023012,34575496
1995,123070299,34116692
1996,126112968,33649991
1997,129144696,33181223
1998,132134323,32720075
1999,135075598,32272368
2000,137953959,31845211
2001,140763243,31444218
2002,143477709,31076507
2003,146095618,30745422
2004,148607441,30455440
2005,151010051,30210438
2006,153280768,30016242
2007,155416793,29876598
2008,157408600,29795983
2009,159251476,29778922
2010,160925804,29829995
